nedn,neun,nesw,time,gp,moid,KPI_FailedActiveUeDLSumPerSec,KPI_FailedActiveUeULSumPerSec,KPI_RRC_SetupFail,KPI_S1_SetupFail,KPI_Erab_SetupFail,KPI_CellDowntime-Auto_Mins,KPI_CellDowntime-Manual_Mins,pm_AbnormalRelENB,pm_AbnormalRelMME,LOAD_ActiveUeDLSumPerSec,LOAD_ActiveUeULSumPerSec,LOAD_DLVolumeMB,LOAD_ULVolumeMB,LOAD_pmSessionTimeUe,pmPdcchCceUtil,pmRadioRecInterferencePwr,pmRadioRecInterferencePwrPucch
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030666_CODDINGTOWN_SC",030666_CODDINGTOWN_SC,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030666_2_2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,157.02666666666667,218.41333333333333,162.1202392578125,11.536865234375,1927.0,"791674,19727,2894,66441,11446,2832,441,3619,503,153,32,201,7,3,0,2,0,0,0,0","0,653712,156193,52250,18238,9918,4573,2349,1196,642,793,84,23,4,0,0","0,385518,247588,100821,63754,41484,24421,15370,8791,6052,5605,373,152,25,9,12"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030669_DOWNTOWN_LUCERN",030669_DOWNTOWN_LUCERN,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030669_3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,384.31444444444446,401.56555555555553,358.5889892578125,23.1385498046875,2863.0,"758362,39908,6303,55625,30158,4355,1054,2462,1272,291,64,68,28,7,6,1,0,0,0,0","837,0,156765,474978,18646,9116,13596,93611,99563,29702,2980,159,11,0,0,0","0,0,1,488020,134807,26903,14032,46323,125186,59903,4543,58,5,6,2,175"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030669_DOWNTOWN_LUCERN",030669_DOWNTOWN_LUCERN,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030669_2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,901.0566666666666,980.2966666666666,1302.1527099609375,111.642822265625,4153.0,"613029,134138,39562,37917,44061,17183,5808,3428,3023,1235,306,194,59,10,2,9,0,0,0,0","1460,0,543536,329148,13436,6906,2475,1210,824,394,452,89,27,5,2,0","0,0,215587,541681,84701,24146,9410,10426,8418,4022,1227,160,3,6,2,175"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030669_DOWNTOWN_LUCERN",030669_DOWNTOWN_LUCERN,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030669_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,96.89555555555556,155.23888888888888,101.4425048828125,10.357177734375,1608.0,"815473,13009,1467,60046,7439,1115,102,1145,101,28,3,33,1,2,0,0,0,0,0,0","0,0,2,63912,33971,788175,9580,2447,871,582,416,7,1,0,0,0","0,0,0,0,0,0,0,710690,187332,1565,191,5,2,5,4,170"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030768_PEDRICK_RD",030768_PEDRICK_RD,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030768_1",14.729243986254296,10.395635738831615,1.0,5.0,0.0,0.0,0.0,0,0,476.24555555555554,336.12555555555554,260.6929931640625,20.352783203125,2329.0,"715187,43410,19080,73096,20678,9962,4520,6736,3240,1669,720,1008,333,164,55,81,21,8,0,0","0,0,190813,670140,23349,6466,3499,2084,1450,1101,844,184,35,1,2,0","0,0,11545,792443,70927,12402,4803,2753,1795,1164,1768,318,50,0,0,0"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030768_PEDRICK_RD",030768_PEDRICK_RD,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030768_2",2.0932337714058344,2.746395858223841,1.0,0.0,0.0,0.0,0.0,0,0,584.0122222222222,766.2444444444444,474.947998046875,117.5419921875,5502.0,"671886,71289,17802,60455,42796,11424,2989,11198,7254,1565,323,770,168,27,5,9,8,0,0,0","0,0,0,1808,809887,51013,13826,7642,5176,3359,5551,1266,332,79,24,5","0,0,0,322311,438311,71627,25336,13638,9051,5968,10520,2461,672,54,19,0"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030191_Half_Moon_Bay_East",030191_Half_Moon_Bay_East,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030191_2_2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,488.04777777777775,969.7811111111112,1425.00048828125,60.582275390625,6826.0,"723445,104336,52158,13855,4725,1278,137,37,4,1,0,0,0,0,0,0,0,0,0,0","0,876115,13778,1459,507,292,292,372,1726,1995,3419,21,0,0,0,0","0,791167,62525,12440,5700,3258,2065,986,650,853,20201,117,13,0,1,0"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030191_Half_Moon_Bay_East",030191_Half_Moon_Bay_East,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030191_1_2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28.13888888888889,130.46444444444444,19.350830078125,2.54833984375,825.0,"836357,59486,3625,474,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,751951,147423,173,119,89,54,56,64,32,13,2,0,0,0,0","0,737686,156380,3233,1150,512,184,172,156,144,303,55,1,0,0,0"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030191_Half_Moon_Bay_East",030191_Half_Moon_Bay_East,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030191_3_2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,409.6111111111111,938.6277777777777,955.279541015625,42.632568359375,5563.0,"702842,117941,50737,19291,6212,2473,328,129,14,7,1,1,0,0,0,0,0,0,0,0","0,723272,139998,19285,8645,4912,2135,961,544,131,92,1,0,0,0,0","0,400163,266317,131550,44190,18227,15587,11646,4872,2463,3389,1542,23,7,0,0"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030191_Half_Moon_Bay_East",030191_Half_Moon_Bay_East,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030191_1",3.4105777777777813,14.841644444444457,0.0,1.0,0.0,0.0,0.0,0,0,85.26444444444445,371.0411111111111,58.4510498046875,5.34326171875,1307.0,"667681,39844,1829,152801,9635,6361,202,20101,482,205,3,826,2,1,0,3,0,0,0,0","0,0,518082,362813,18294,461,89,35,27,63,111,1,0,0,0,0","0,0,736588,121972,12677,23724,4126,755,91,29,13,1,0,0,0,0"
